Date	TAIR(K)	QAIR(Kg/Kg)	PSURF(Pa)	WINDE(m/s)	WINDN(m/s)	LRAD(W/m2)	PRCP(mm/day)	PRCP_avg(mm/day)	SRAD(W/m2)	SWE
10/1/1984	281.94	0.01	86610.62	1.61	1.61	315.94	11.652	0.486	188.84	0.038
10/2/1984	285.58	0.01	86804.96	-0.24	-0.24	279.66	0.290	0.012	216.19	0.015
10/3/1984	286.81	0.01	86849.39	0.27	0.27	281.71	0.000	0.000	214.56	0.003
10/4/1984	285.63	0.01	86909.90	1.16	1.16	282.12	0.000	0.000	213.27	0.001
10/5/1984	285.27	0.01	86936.66	0.65	0.65	276.22	0.000	0.000	211.24	0.001
10/6/1984	286.53	0.01	87204.62	0.38	0.38	292.67	0.000	0.000	206.64	0.000
10/7/1984	288.47	0.01	87508.31	0.01	0.01	294.50	0.015	0.001	205.63	0.000
10/8/1984	288.66	0.01	87272.26	1.06	1.06	283.30	0.018	0.001	206.62	0.000
10/9/1984	286.55	0.01	86932.26	1.10	1.10	275.72	0.043	0.002	203.91	0.000
10/10/1984	285.80	0.00	86675.23	1.52	1.52	277.86	2.838	0.118	165.49	0.015
10/11/1984	281.61	0.01	86544.09	2.70	2.70	317.81	30.736	1.281	154.27	0.832
10/12/1984	280.51	0.00	87126.75	0.77	0.77	295.09	0.521	0.022	91.39	0.720
10/13/1984	283.90	0.01	87470.31	1.39	1.39	318.52	1.549	0.065	147.37	0.486
10/14/1984	282.53	0.00	87046.95	0.65	0.65	240.53	0.057	0.002	199.94	0.350
10/15/1984	278.41	0.00	86593.81	0.50	0.50	223.43	6.315	0.263	179.66	1.007
10/16/1984	274.72	0.00	86283.59	-0.96	-0.96	285.44	14.704	0.613	65.26	6.204
10/17/1984	275.34	0.00	86082.92	3.18	3.18	271.49	13.880	0.578	185.31	19.534
10/18/1984	274.32	0.00	87286.31	0.66	0.66	244.43	0.641	0.027	116.37	20.017
10/19/1984	277.13	0.00	86930.67	1.30	1.30	309.08	6.248	0.260	103.79	23.201
10/20/1984	277.61	0.00	86556.17	0.77	0.77	272.16	0.712	0.030	171.28	23.042
10/21/1984	277.60	0.00	86715.39	-0.04	-0.04	240.25	0.080	0.003	159.26	21.008
10/22/1984	279.19	0.00	87019.59	-0.66	-0.66	238.69	0.068	0.003	178.11	18.563
10/23/1984	281.18	0.00	87204.60	-1.67	-1.67	236.13	0.000	0.000	176.10	15.664
10/24/1984	283.50	0.00	87074.02	-0.54	-0.54	261.40	0.001	0.000	173.22	12.437
10/25/1984	284.77	0.00	86850.36	-1.62	-1.62	255.23	0.002	0.000	171.85	9.435
