Date	TAIR(K)	QAIR(Kg/Kg)	PSURF(Pa)	WINDE(m/s)	WINDN(m/s)	LRAD(W/m2)	PRCP(mm/day)	PRCP_avg(mm/day)	SRAD(W/m2)	SWE
10/1/1984	281.49	0.0054	84533.88	2.22	2.22	302.68	6.424	0.268	203.12	0.001
10/2/1984	284.67	0.0054	84845.20	-1.21	-1.21	269.20	0.023	0.001	215.07	0.000
10/3/1984	286.20	0.0054	84816.22	0.62	0.62	272.65	0.000	0.000	211.39	0.000
10/4/1984	284.55	0.0056	84820.11	2.83	2.83	275.30	0.000	0.000	208.95	0.000
10/5/1984	283.48	0.0057	84870.05	2.12	2.12	264.29	0.000	0.000	208.46	0.000
10/6/1984	284.20	0.0060	85141.62	1.16	1.16	279.50	0.000	0.000	195.75	0.000
10/7/1984	286.09	0.0059	85459.51	0.83	0.83	280.21	0.000	0.000	202.26	0.000
10/8/1984	286.54	0.0055	85186.44	2.24	2.24	271.68	0.000	0.000	202.19	0.000
10/9/1984	284.40	0.0054	84868.51	1.94	1.94	268.98	0.000	0.000	198.39	0.000
10/10/1984	283.03	0.0051	84573.62	2.66	2.66	291.12	7.501	0.313	125.11	0.018
10/11/1984	279.70	0.0057	84301.57	4.88	4.88	301.62	31.847	1.327	175.11	0.726
10/12/1984	277.34	0.0044	85007.86	1.90	1.90	280.96	0.422	0.018	76.66	0.643
10/13/1984	281.41	0.0062	85327.86	3.14	3.14	293.02	1.023	0.043	169.14	0.379
10/14/1984	278.39	0.0033	85149.88	-0.90	-0.90	217.98	0.000	0.000	197.12	0.237
10/15/1984	274.87	0.0029	84692.55	-1.42	-1.42	215.33	3.225	0.134	176.20	0.419
10/16/1984	272.32	0.0033	84211.10	-1.70	-1.70	274.17	11.035	0.460	63.44	3.309
10/17/1984	272.93	0.0038	83959.81	4.47	4.47	249.80	8.387	0.349	182.86	10.081
10/18/1984	272.21	0.0029	85183.88	0.83	0.83	238.92	0.705	0.029	111.29	9.539
10/19/1984	275.59	0.0043	84726.79	3.32	3.32	298.44	3.070	0.128	105.38	9.856
10/20/1984	275.72	0.0045	84479.54	1.46	1.46	256.60	0.929	0.039	165.92	8.506
10/21/1984	275.81	0.0038	84744.27	-1.45	-1.45	240.66	0.062	0.003	148.27	6.691
10/22/1984	276.81	0.0036	85058.23	-2.54	-2.54	229.75	0.065	0.003	175.04	5.184
10/23/1984	278.00	0.0035	85338.59	-4.07	-4.07	229.70	0.000	0.000	168.04	3.721
10/24/1984	280.60	0.0040	85202.32	-2.32	-2.32	256.04	0.026	0.001	168.89	2.485
10/25/1984	281.12	0.0038	85010.82	-3.56	-3.56	247.61	0.133	0.006	161.07	1.604
10/26/1984	281.70	0.0054	84580.03	4.65	4.65	300.47	2.362	0.098	82.02	1.161
10/27/1984	275.04	0.0036	84573.66	1.84	1.84	214.13	0.873	0.036	168.48	1.032
10/28/1984	275.52	0.0035	84616.51	3.47	3.47	289.37	1.856	0.077	58.20	1.092
10/29/1984	278.25	0.0054	84793.75	3.46	3.46	306.44	2.749	0.115	114.29	1.223
10/30/1984	277.32	0.0044	84824.61	2.46	2.46	238.42	0.044	0.002	157.56	1.053
10/31/1984	275.43	0.0035	84748.91	0.44	0.44	215.89	0.000	0.000	162.16	0.943
11/1/1984	276.89	0.0027	84977.39	-0.40	-0.40	219.90	0.424	0.018	153.34	0.907
11/2/1984	278.43	0.0048	84522.22	5.16	5.16	306.47	30.261	1.261	61.71	3.964
11/3/1984	276.49	0.0048	84663.63	5.34	5.34	260.99	4.096	0.171	141.83	4.360
11/4/1984	275.94	0.0035	85091.60	-1.12	-1.12	228.32	0.684	0.029	138.32	4.152
11/5/1984	280.01	0.0041	84854.94	-1.45	-1.45	295.19	4.917	0.205	118.10	3.946
11/6/1984	279.03	0.0053	84310.52	3.78	3.78	312.54	20.538	0.856	87.60	5.037
11/7/1984	275.96	0.0045	84503.66	2.29	2.29	284.39	1.786	0.074	84.24	5.696
11/8/1984	275.29	0.0046	83938.52	4.13	4.13	292.36	22.951	0.956	91.74	12.537
11/9/1984	272.13	0.0034	85174.40	2.60	2.60	238.64	2.359	0.098	125.28	14.298
11/10/1984	275.27	0.0045	84879.08	1.96	1.96	310.09	20.447	0.852	58.82	20.150
11/11/1984	277.47	0.0055	84569.75	1.56	1.56	317.68	13.215	0.551	69.65	22.588
11/12/1984	277.55	0.0051	84195.02	1.61	1.61	281.96	8.930	0.372	79.25	22.801
11/13/1984	276.25	0.0048	83835.26	3.17	3.17	293.37	27.261	1.136	84.39	30.311
11/14/1984	272.33	0.0036	85197.99	0.79	0.79	239.69	2.056	0.086	108.57	32.193
11/15/1984	273.94	0.0035	84975.69	-1.64	-1.64	277.75	1.687	0.070	83.30	32.303
11/16/1984	274.68	0.0044	84566.22	-0.18	-0.18	285.61	5.722	0.238	96.03	34.163
11/17/1984	273.92	0.0035	84796.98	-1.06	-1.06	226.75	0.152	0.006	118.11	34.457
11/18/1984	275.56	0.0047	84733.70	2.07	2.07	294.24	11.636	0.485	91.24	37.775
11/19/1984	273.53	0.0036	85205.60	-1.87	-1.87	237.79	1.840	0.077	109.39	38.400
11/20/1984	275.33	0.0044	84802.51	1.77	1.77	301.95	8.393	0.350	45.06	41.688
11/21/1984	273.61	0.0040	84548.52	-1.53	-1.53	277.89	5.520	0.230	104.80	46.320
11/22/1984	273.51	0.0037	84774.11	-3.91	-3.91	221.43	1.094	0.046	121.73	46.738
11/23/1984	274.09	0.0035	84774.89	-0.48	-0.48	230.00	1.015	0.042	94.06	47.781
11/24/1984	275.05	0.0046	83779.13	3.45	3.45	302.55	37.045	1.544	67.74	66.374
