Date	TAIR(K)	QAIR(Kg/Kg)	PSURF(Pa)	WINDE(m/s)	WINDN(m/s)	LRAD(W/m2)	PRCP(mm/day)	PRCP_avg(mm/day)	SRAD(W/m2)	SWE
10/1/1984	281.04	0.0052	84133.54	2.51	2.51	301.90	2.002	0.083	138.31	0.000
10/2/1984	283.06	0.0051	84322.38	-0.82	-0.82	265.51	0.113	0.005	214.93	0.000
10/3/1984	285.10	0.0052	84400.03	0.63	0.63	274.23	0.000	0.000	214.61	0.000
10/4/1984	284.91	0.0051	84469.87	1.66	1.66	268.32	0.000	0.000	213.58	0.000
10/5/1984	284.58	0.0054	84497.28	0.70	0.70	266.47	0.000	0.000	211.40	0.000
10/6/1984	285.74	0.0055	84780.41	0.52	0.52	272.71	0.000	0.000	208.62	0.000
10/7/1984	287.66	0.0057	85099.41	0.14	0.14	282.55	0.000	0.000	206.61	0.000
10/8/1984	288.11	0.0051	84890.47	1.46	1.46	273.52	0.000	0.000	206.96	0.000
10/9/1984	286.09	0.0051	84529.78	1.29	1.29	265.77	0.610	0.025	202.95	0.000
10/10/1984	285.84	0.0042	84317.09	1.42	1.42	267.86	0.417	0.017	195.41	0.000
10/11/1984	282.62	0.0062	84200.50	3.26	3.26	316.31	23.618	0.984	146.31	1.477
10/12/1984	281.28	0.0046	84630.36	1.39	1.39	270.28	0.040	0.002	167.06	1.488
10/13/1984	284.35	0.0063	84987.73	2.03	2.03	283.42	0.000	0.000	184.94	0.893
10/14/1984	283.53	0.0042	84497.46	2.49	2.49	247.28	0.000	0.000	197.98	0.667
10/15/1984	279.32	0.0023	83982.33	2.38	2.38	221.16	8.401	0.350	177.57	1.305
10/16/1984	275.13	0.0039	83929.48	0.97	0.97	277.20	10.466	0.436	85.84	7.227
10/17/1984	275.01	0.0042	83672.88	4.83	4.83	271.53	17.433	0.726	183.31	24.829
10/18/1984	274.72	0.0031	84709.49	1.19	1.19	233.17	0.330	0.014	150.48	24.104
10/19/1984	278.06	0.0045	84442.07	2.23	2.23	291.42	6.336	0.264	162.77	26.371
10/20/1984	277.63	0.0046	84044.95	1.90	1.90	241.95	0.109	0.005	173.51	25.327
10/21/1984	278.19	0.0041	84176.99	1.46	1.46	244.76	0.014	0.001	170.90	23.621
10/22/1984	278.96	0.0038	84485.56	0.37	0.37	235.54	0.029	0.001	178.36	21.625
10/23/1984	280.10	0.0034	84639.51	-0.98	-0.98	227.26	0.000	0.000	181.07	19.671
10/24/1984	282.03	0.0039	84560.60	-0.75	-0.75	249.22	0.092	0.004	174.85	17.735
10/25/1984	283.00	0.0038	84343.29	-1.20	-1.20	247.02	0.109	0.005	175.15	15.914
10/26/1984	283.30	0.0046	84361.34	2.29	2.29	289.71	0.296	0.012	79.20	14.764
10/27/1984	278.30	0.0040	84217.94	3.10	3.10	231.93	0.421	0.018	171.88	14.331
