Date	TAIR(K)	QAIR(Kg/Kg)	PSURF(Pa)	WINDE(m/s)	WINDN(m/s)	LRAD(W/m2)	PRCP(mm/day)	PRCP_avg(mm/day)	SRAD(W/m2)	SWE
10/1/1984	279.17	0.0051	81550.98	2.24	2.24	303.44	1.603	0.067	135.35	0.000
10/2/1984	281.44	0.0049	81780.42	-0.70	-0.70	256.37	0.071	0.003	213.79	0.000
10/3/1984	283.27	0.0050	81869.04	1.09	1.09	261.40	0.000	0.000	213.03	0.000
10/4/1984	283.39	0.0049	81930.18	1.74	1.74	259.68	0.000	0.000	211.59	0.000
10/5/1984	283.02	0.0049	81953.54	0.89	0.89	254.77	0.000	0.000	209.98	0.000
10/6/1984	283.97	0.0051	82237.23	0.52	0.52	261.21	0.000	0.000	206.97	0.000
10/7/1984	286.07	0.0053	82580.29	0.27	0.27	272.16	0.000	0.000	204.66	0.000
10/8/1984	286.44	0.0046	82370.86	1.48	1.48	262.01	0.000	0.000	205.31	0.000
10/9/1984	284.36	0.0044	82000.90	1.02	1.02	255.39	1.128	0.047	195.71	0.000
10/10/1984	284.27	0.0043	81789.70	1.09	1.09	266.55	1.281	0.053	191.15	0.000
10/11/1984	280.36	0.0059	81599.77	3.27	3.27	308.28	26.234	1.093	139.07	1.509
10/12/1984	279.27	0.0044	82054.63	0.81	0.81	263.88	0.033	0.001	153.04	1.487
10/13/1984	283.00	0.0063	82443.81	1.63	1.63	278.03	0.028	0.001	179.91	0.931
10/14/1984	281.90	0.0035	81961.57	1.87	1.87	234.31	0.000	0.000	196.57	0.686
10/15/1984	277.06	0.0021	81420.94	1.74	1.74	212.16	13.083	0.545	173.56	1.675
10/16/1984	273.58	0.0038	81291.46	0.16	0.16	273.40	9.682	0.403	83.89	6.736
10/17/1984	273.73	0.0042	81010.43	4.38	4.38	265.47	14.461	0.603	182.24	19.696
10/18/1984	273.31	0.0027	82089.70	0.47	0.47	226.46	0.786	0.033	143.07	19.632
10/19/1984	277.01	0.0045	81828.95	1.91	1.91	295.17	6.786	0.283	136.31	22.775
10/20/1984	276.04	0.0043	81450.93	1.41	1.41	232.08	0.087	0.004	176.70	22.303
10/21/1984	276.29	0.0035	81589.14	1.13	1.13	226.15	0.026	0.001	167.98	20.939
10/22/1984	277.37	0.0033	81905.07	0.25	0.25	225.48	0.118	0.005	177.08	19.364
10/23/1984	278.70	0.0029	82085.91	-1.09	-1.09	216.33	0.000	0.000	179.37	17.685
10/24/1984	280.65	0.0035	82017.45	-0.80	-0.80	241.40	0.067	0.003	173.00	15.948
10/25/1984	281.39	0.0033	81827.73	-1.32	-1.32	237.53	0.079	0.003	173.17	14.285
10/26/1984	281.10	0.0047	81805.95	2.30	2.30	285.08	0.576	0.024	72.89	13.450
10/27/1984	276.32	0.0037	81628.39	2.55	2.55	219.88	0.453	0.019	170.50	13.163
10/28/1984	276.49	0.0027	81823.46	1.95	1.95	258.40	0.065	0.003	81.97	12.951
10/29/1984	278.84	0.0055	81977.48	1.45	1.45	296.90	1.060	0.044	126.22	12.531
10/30/1984	278.12	0.0046	81871.61	1.13	1.13	235.18	0.630	0.026	163.18	11.843
10/31/1984	276.82	0.0035	81658.13	1.18	1.18	215.78	0.000	0.000	165.76	11.315
11/1/1984	278.23	0.0024	82096.63	-0.30	-0.30	215.54	0.000	0.000	159.06	10.752
11/2/1984	278.26	0.0036	82153.54	1.83	1.83	261.38	7.051	0.294	56.83	13.898
11/3/1984	277.51	0.0054	81892.11	2.81	2.81	267.15	5.482	0.228	145.86	15.568
11/4/1984	278.80	0.0035	82125.94	-0.41	-0.41	245.10	2.598	0.108	121.45	15.792
11/5/1984	281.96	0.0041	82039.77	-1.11	-1.11	291.44	1.743	0.073	86.88	15.844
11/6/1984	277.98	0.0051	81670.21	1.34	1.34	298.99	16.503	0.688	93.25	22.890
11/7/1984	275.54	0.0045	81595.86	1.30	1.30	282.02	0.053	0.002	67.70	26.816
11/8/1984	274.10	0.0046	81237.43	3.40	3.40	286.75	46.184	1.924	106.21	66.084
11/9/1984	270.25	0.0029	82204.96	0.77	0.77	221.87	1.801	0.075	130.43	71.839
11/10/1984	273.86	0.0033	82166.05	-0.38	-0.38	272.60	0.599	0.025	80.60	72.259
11/11/1984	276.77	0.0051	81900.14	-0.47	-0.47	304.38	9.538	0.397	93.00	78.151
11/12/1984	276.19	0.0046	81518.09	-0.94	-0.94	269.38	7.650	0.319	86.02	87.020
11/13/1984	274.45	0.0047	81165.38	1.03	1.03	287.34	35.797	1.492	89.96	115.376
11/14/1984	272.03	0.0033	82173.88	-1.29	-1.29	237.57	4.701	0.196	111.48	123.541
11/15/1984	275.38	0.0034	82022.88	-0.71	-0.71	266.88	0.154	0.006	119.65	124.655
11/16/1984	273.98	0.0044	81651.56	-0.30	-0.30	278.98	10.092	0.420	104.01	133.435
11/17/1984	273.63	0.0037	81779.38	-1.17	-1.17	220.46	0.476	0.020	134.26	134.981
11/18/1984	275.24	0.0046	81888.29	1.03	1.03	274.83	5.128	0.214	122.80	137.250
11/19/1984	274.13	0.0033	82096.98	-0.48	-0.48	216.43	1.101	0.046	126.71	138.698
11/20/1984	275.70	0.0042	82014.94	0.26	0.26	281.72	13.595	0.566	92.17	153.564
11/21/1984	272.49	0.0040	81409.43	0.43	0.43	279.95	9.834	0.410	90.32	166.432
11/22/1984	272.88	0.0035	81528.30	-2.47	-2.47	228.14	2.798	0.117	116.32	170.224
11/23/1984	274.17	0.0033	81802.45	-1.54	-1.54	211.93	0.665	0.028	126.34	171.215
11/24/1984	273.94	0.0044	81172.79	1.89	1.89	288.01	25.509	1.063	64.51	193.820
11/25/1984	268.11	0.0030	81319.71	3.25	3.25	251.20	5.114	0.213	74.31	199.630
11/26/1984	265.79	0.0021	81841.11	-1.02	-1.02	206.20	16.911	0.705	105.69	213.025
11/27/1984	272.90	0.0034	82060.75	-0.11	-0.11	286.60	2.379	0.099	57.18	227.971
11/28/1984	273.02	0.0043	81670.11	3.80	3.80	283.51	28.524	1.189	73.73	258.901
11/29/1984	269.83	0.0029	81924.66	0.59	0.59	210.39	0.153	0.006	113.41	259.570
11/30/1984	272.76	0.0034	81960.43	0.91	0.91	236.68	0.000	0.000	119.55	258.989
12/1/1984	272.12	0.0032	81747.21	0.44	0.44	202.15	0.211	0.009	119.83	258.603
12/2/1984	274.07	0.0035	81692.88	0.01	0.01	247.61	1.631	0.068	96.31	258.898
12/3/1984	272.65	0.0038	81394.51	-0.68	-0.68	280.00	2.403	0.100	68.69	261.062
12/4/1984	271.64	0.0033	81566.52	-1.49	-1.49	206.64	0.003	0.000	115.78	261.311
12/5/1984	273.37	0.0037	81587.61	-1.69	-1.69	265.87	1.533	0.064	89.78	263.507
12/6/1984	274.98	0.0039	82173.60	-1.82	-1.82	251.50	0.051	0.002	92.45	263.194
12/7/1984	276.46	0.0032	82155.64	-0.75	-0.75	232.98	0.000	0.000	111.81	262.437
12/8/1984	276.28	0.0037	81718.37	-0.60	-0.60	268.38	2.536	0.106	73.51	264.025
12/9/1984	274.80	0.0041	81973.07	-1.09	-1.09	256.92	1.503	0.063	88.60	264.591
12/10/1984	274.25	0.0046	81509.75	0.29	0.29	282.74	13.483	0.562	60.14	278.194
12/11/1984	273.03	0.0042	81188.35	0.92	0.92	261.19	1.721	0.072	91.93	281.224
